"",".rownames","X1","X2","X3","X4","X5"
"315","defiance",1,0,0,0,0
"316","deformities",1,0,0,0,0
"317","delay",1,1,1,0,0
"318","delight",2,1,0,0,0
"319","denied",1,0,0,0,0
"320","deny",1,2,0,1,0
"321","depart",2,0,1,0,1
"322","despair",2,0,0,0,0
"323","desperate",1,0,2,3,4
"324","despised",1,0,1,1,0
"325","devotion",1,0,0,1,0
"326","devout",1,0,0,0,0
"327","dew",1,1,1,0,1
"328","dewdropping",1,0,0,0,0
"329","dians",1,0,0,0,0
"330","did",5,9,11,2,13
"331","die",3,2,8,4,6
"332","dies",2,0,0,1,3
"333","different",1,1,0,0,0
"334","dignity",1,0,0,0,0
"335","dine",1,0,0,0,0
"336","direct",1,0,0,0,0
"337","discovery",1,0,0,0,0
"338","discreet",1,0,0,0,0
"339","disgrace",1,0,0,0,0
"340","disparagement",1,0,0,0,0
"341","disposition",1,0,1,0,0
"342","disturb",1,0,0,1,0
"343","disturbd",1,0,0,0,0
"344","doctrine",1,0,0,0,0
"345","dog",2,0,3,0,0
"346","done",4,1,4,1,0
"347","door",1,0,0,1,0
"348","dost",2,5,6,0,3
"349","doth",7,13,15,4,8
"350","dove",1,1,0,0,0
"351","dovehouse",2,0,0,0,0
"352","down",5,5,7,2,1
"353","drave",1,0,0,0,0
"354","draw",6,2,3,0,0
"355","drawn",3,0,0,0,0
"356","dream",7,1,0,0,2
"357","dreamd",1,0,0,0,0
"358","dreamers",1,0,0,0,0
"359","dreams",4,0,0,0,1
"360","drew",1,0,0,0,1
"361","driveth",1,0,0,0,0
"362","drownd",1,0,0,0,0
"363","drum",1,0,0,0,0
"364","drums",1,0,0,0,0
"365","dug",3,0,0,0,0
"366","dull",1,1,0,0,0
"367","dun",1,0,0,0,0
"368","duns",1,0,0,0,0
"369","ear",3,2,1,0,1
"370","early",4,1,4,2,5
"371","ears",3,3,3,0,1
"372","earth",3,4,9,2,1
"373","earthquake",1,0,0,0,0
"374","earthtreading",1,0,0,0,0
"375","east",2,1,1,0,0
"376","een",1,0,0,0,0
"377","eer",1,1,0,1,0
"378","effect",1,0,0,0,1
"379","either",2,3,4,0,0
"380","elder",1,0,0,0,0
"381","eleven",2,0,0,0,0
"382","elflocks",1,0,0,0,0
"383","else",3,5,4,0,1
"384","empty",1,0,0,0,3
"385","encounter",1,2,0,0,0
"386","end",1,0,6,0,2
"387","endart",1,0,0,0,0
"388","endure",2,0,0,0,0
"389","endured",1,0,0,0,0
"390","enemies",1,0,0,0,1
"391","enemy",2,3,0,0,1
"392","enough",1,1,3,2,0
"393","enpierced",1,0,0,0,0
"394","enrich",1,0,0,0,0
"395","enter",19,13,15,14,13
"396","entire",1,0,0,0,0
"397","entrance",1,0,0,0,1
"398","envious",1,2,3,0,0
"399","ere",4,6,6,3,1
"400","esteem",1,0,0,0,0
"401","ethiopes",1,0,0,0,0
"402","even",5,1,4,0,2
"403","ever",2,0,6,4,0
"404","every",3,3,5,1,0
"405","examine",2,0,0,0,0
"406","excellent",1,1,0,0,0
"407","excuse",1,2,2,0,0
"408","exeunt",9,6,5,8,2
"409","exit",3,7,9,7,5
"410","expire",1,0,0,0,0
"411","exquisite",1,0,0,0,0
"412","extremity",1,0,0,0,0
"413","eye",6,6,6,0,0
"414","eyes",6,8,11,1,2
"415","eyesight",1,0,1,0,0
"416","face",6,6,3,5,2
"417","faintly",1,0,0,0,0
"418","fair",22,11,4,3,3
"419","fairer",1,1,0,0,0
"420","fairies",2,0,0,0,0
"421","faith",3,3,5,6,1
"422","fall",4,4,3,2,1
"423","falsehood",1,0,0,0,0
"424","fantasy",1,0,0,0,0
"425","far",2,3,0,0,1
"426","farewell",2,7,8,2,2
"427","fast",1,1,0,1,0
"428","fatal",1,0,2,0,1
"429","father",1,3,9,5,4
"430","favour",1,0,0,0,1
"431","fay",1,0,0,0,0
"432","fear",4,0,1,5,5
"433","fearful",2,1,2,1,1
"434","feast",5,0,0,1,0
"435","feather",1,0,0,0,0
"436","feathers",1,0,0,0,0
"437","feel",5,0,2,0,0
"438","fees",1,0,0,0,0
"439","fellow",2,0,1,1,1
"440","fellows",1,0,1,0,0
"441","felt",1,1,0,0,0
"442","female",1,0,0,0,0
"443","fetch",1,1,2,3,0
"444","fiery",1,1,0,0,0
"445","fight",2,0,2,0,2
"446","fighting",1,0,0,0,0
"447","film",1,0,0,0,0
"448","find",6,6,9,1,2
"449","fine",1,1,3,0,0
"450","finger",1,0,0,0,1
"451","fingers",1,0,1,3,0
"452","fire",5,1,0,0,0
"453","fires",1,0,0,0,0
"454","first",7,4,4,12,6
"455","fish",2,0,0,0,0
"456","fisher",1,0,0,0,0
"457","fits",1,0,0,0,0
"458","five",4,1,0,0,0
"459","fivefathom",1,0,0,0,0
"460","fled",1,0,1,0,0
"461","fleer",1,0,0,0,0
"462","flesh",2,2,1,0,2
"463","flourishes",1,0,0,0,0
"464","flower",3,4,0,2,1
"465","fly",1,0,2,0,1
"466","foe",2,3,0,0,0
"467","foes",2,0,0,0,0
"468","follow",2,3,1,1,0
"469","follows",1,0,0,0,0
"470","food",1,0,0,0,2
"471","fool",2,0,4,0,0
"472","foolish",1,0,1,0,0
"473","fools",1,2,0,0,0
"474","foot",2,5,0,0,2
"475","for",43,56,61,36,27
"476","forbid",1,0,0,1,0
"477","forefinger",1,0,0,0,0
"478","foreign",1,0,0,0,0
"479","forfeit",2,0,0,0,0
"480","forget",6,2,1,0,0
"481","forms",1,0,0,0,0
"482","forswear",1,0,0,0,0
"483","forsworn",1,0,3,0,0
"484","forth",3,1,3,2,3
"485","fortnight",1,0,0,0,0
"486","fortune",1,1,4,0,1
"487","fought",2,0,1,0,1
"488","foul",2,0,0,1,1
"489","fountains",1,0,0,0,0
"490","four",1,0,0,1,0
"491","fourteen",6,0,0,0,0
"492","fray",3,0,2,0,0
"493","freetown",1,0,0,0,0
"494","fresh",2,0,0,0,0
"495","friends",1,0,4,0,0
"496","frighted",1,0,0,0,0
"497","from",21,12,22,12,19
"498","frown",1,1,0,0,0
"499","frowns",1,0,0,0,0
"500","frozen",1,0,0,0,0
"501","fume",1,0,0,0,0
"502","further",1,1,0,0,3
"503","furthest",1,0,0,0,0
"504","gall",2,0,0,0,0
"505","gallops",2,0,0,0,0
"506","game",1,0,0,0,0
"507","gentle",5,2,3,1,1
"508","gentleman",3,5,6,0,0
"509","gentlemen",6,2,2,0,0
"510","get",1,0,3,3,6
"511","giddy",1,0,0,0,0
"512","girl",2,0,3,1,0
"513","girls",1,0,0,0,0
"514","give",7,6,11,13,10
"515","gives",1,1,1,0,2
"516","giving",2,0,1,0,0
"517","glad",1,0,0,1,0
"518","gladly",2,0,0,0,0
"519","glory",1,0,0,0,0
"520","gnat",1,0,0,0,0
"521","god",5,9,8,5,0
"522","godden",1,0,1,0,0
"523","goes",1,1,0,1,0
"524","going",2,0,0,0,2
"525","gold",2,0,0,1,2
"526","golden",2,1,1,0,0
"527","gone",6,1,15,4,7
"528","good",16,40,16,4,6
"529","goodman",1,0,0,0,0
"530","goodmorrow",1,0,0,0,0
"531","gown",1,0,0,0,0
"532","grace",1,4,0,0,0
"533","grandsire",1,1,0,0,0
"534","grant",2,0,0,0,0
"535","grasshoppers",1,0,0,0,0
"536","grave",2,2,4,2,7
"537","great",4,2,1,1,1
"538","greeting",1,0,1,0,0
"539","gregory",19,0,0,0,0
"540","greycoated",1,0,0,0,0
"541","grief",2,2,4,2,3
"542","griefs",1,0,2,0,0
"543","grievance",1,0,0,0,0
"544","grindstone",1,0,0,0,0
"545","groan",2,0,0,0,0
"546","ground",2,0,2,0,5
"547","grove",1,0,0,0,0
"548","grow",2,0,0,0,0
"549","grown",1,1,1,0,0
"550","grub",1,0,0,0,0
"551","grudge",1,0,0,0,0
"552","guest",2,0,0,0,0
"553","guests",3,0,0,1,0
"554","had",2,7,6,1,4
"555","hadst",3,1,2,0,0
"556","hag",1,0,0,0,0
"557","hairs",1,0,0,0,0
"558","hall",3,0,0,2,0
"559","hand",4,6,9,1,5
"560","hands",7,1,3,2,0
"561","hanging",1,0,0,0,0
"562","hangs",1,0,0,0,1
"563","happy",5,1,5,0,1
"564","hard",1,1,1,0,0
"565","hast",2,8,12,4,2
"566","hate",6,1,5,0,1
"567","hath",12,11,20,11,9
"568","have",30,30,35,21,11
"569","having",3,1,4,0,0
"570","hazelnut",1,0,0,0,0
"571","head",1,5,4,1,3
"572","heads",3,0,2,0,0
"573","health",1,0,0,0,0
"574","healths",1,0,0,0,0
"575","hear",5,6,6,3,2
"576","heard",1,1,0,0,0
"577","heart",4,6,10,6,0
"578","heartless",1,0,0,0,0
"579","hearts",3,3,0,4,0
"580","heaven",1,5,13,5,4
"581","heavy",5,2,2,1,0
"582","heel",1,0,1,0,0
"583","heels",1,0,0,0,0
"584","heir",1,2,0,1,1
"585","helena",1,0,0,0,0
"586","hell",1,0,5,1,0
"587","helps",1,0,1,0,0
"588","hence",2,3,11,2,8
"589","her",29,39,32,27,25
"590","here",16,13,22,7,20
"591","heres",1,3,2,0,3
"592","heretics",1,0,0,0,0
"593","hers",2,2,0,0,0
"594","herself",2,0,0,1,3
"595","hes",3,0,8,0,0
"596","hide",2,3,1,1,1
"597","him",17,19,35,12,13
"598","himself",3,4,1,1,0
"599","himselfi",1,0,0,0,0
"600","hinds",1,0,0,0,0
"601","his",46,31,24,12,20
"602","hissd",1,0,0,0,0
"603","hit",3,3,1,0,0
"604","hither",3,1,1,2,5
"605","hold",4,1,4,4,3
"606","holidame",1,0,0,0,0
"607","holp",1,0,0,0,0
"608","holy",3,6,3,5,4
"609","home",1,4,0,1,0
"610","homepage",1,0,0,0,0
"611","honest",1,4,1,1,0
"612","honestly",1,0,0,0,0
"613","honour",3,0,1,1,0
"614","honourable",1,1,3,0,0
"615","hoodwinkd",1,0,0,0,0
"616","hopeful",1,0,0,0,0
"617","hopes",1,0,0,0,0
"618","horses",1,0,0,0,1
"619","hot",1,1,5,0,0
"620","hour",2,3,7,1,4
"621","hours",3,2,0,2,1
"622","house",15,2,4,3,3
"623","households",1,1,0,0,0
"624","houses",1,0,4,0,0
"625","how",10,14,19,5,9
"626","huge",1,0,0,0,0
"627","humour",2,0,0,1,0
"628","hurt",1,0,5,0,0
"629","husbandfallst",1,0,0,0,0
"630","husbandgod",1,0,0,0,0
"631","idle",1,0,0,0,0
"632","iii",1,1,2,1,1
"633","ill",14,22,21,15,12
"634","illbeseeming",1,0,1,0,0
"635","importuned",1,0,0,0,0
"636","inconstant",1,1,0,1,0
"637","indeed",2,2,4,0,1
"638","infection",1,0,0,0,1
"639","inherit",1,0,0,0,0
"640","instant",1,0,0,0,0
"641","interchanging",1,0,0,0,0
"642","into",1,1,3,3,1
"643","intrusion",1,0,0,0,0
"644","invited",1,0,0,0,0
"645","issuing",1,0,0,0,0
"646","ist",2,1,2,0,0
"647","its",1,0,0,0,0
"648","jest",1,4,1,0,0
"649","jewel",1,0,0,0,0
"650","john",1,0,0,0,8
"651","join",1,0,0,0,0
"652","joiner",1,0,0,0,0
"653","jointstools",1,0,0,0,0
"654","judgment",1,0,1,0,0
"655","judgmentplace",1,0,0,0,0
"656","jule",3,0,0,0,0
"657","juliet",26,48,53,29,21
"658","keep",2,2,6,3,3
"659","kept",1,0,0,0,0
"660","kin",1,0,0,0,0
"661","kinsman",1,1,8,0,1
"662","kinsmen",1,2,0,0,1
"663","kiss",4,1,1,1,3
"664","kisses",1,0,1,0,2
"665","knaves",1,0,0,0,0
"666","knees",1,0,2,0,0
"667","knight",1,0,1,0,0
"668","knock",2,0,1,0,0
"669","know",10,7,7,7,4
"670","known",2,0,0,0,2
"671","knowst",1,1,1,1,1
"672","lacks",1,0,0,0,0
"673","ladies",5,0,0,0,0
"674","lady",29,12,31,26,7
"675","ladybird",1,0,0,0,0
"676","ladys",2,0,1,2,3
"677","laid",1,1,0,1,2
"678","lamb",1,1,1,1,0
"679","lammaseve",2,0,0,0,0
"680","lammastide",1,0,0,0,0
"681","lamps",1,0,0,0,0
"682","language",1,0,0,0,0
"683","languish",1,0,0,0,0
"684","lap",1,0,0,0,0
"685","lash",1,0,0,0,0
"686","last",2,2,2,0,2
"687","late",3,0,7,0,1
